hand,first_win_day,first_win_situation,wins
JT95p,2025-08-16,showdown,"[""ThJd9d5h"", ""9sJhTs5h"", ""ThJs9s5h""]"
JT96d,2025-08-16,preflop,"[""JhTd6s9h"", ""TsJd9c6d""]"
K765p,2025-08-16,showdown,"[""6c7d5cKd""]"
K862d,2025-08-16,turn,"[""8d2sKs6c""]"
K874p,2025-08-16,preflop,"[""4dKs8s7d""]"
K987d,2025-08-16,turn,"[""8d9hKs7s"", ""8dKh7d9c""]"
K998r,2025-08-16,showdown,"[""Kd9h9c8s""]"
KJ32p,2025-08-16,showdown,"[""Jh2c3hKc""]"
KJ98d,2025-08-16,flop,"[""Ks9c8sJh""]"
KK88d,2025-08-16,river,"[""Ks8s8hKc""]"
KK95d,2025-08-16,showdown,"[""Ks9hKd5s""]"
KKJJd,2025-08-16,flop,"[""KdJdJhKs""]"
KKQ7d,2025-08-16,showdown,"[""7sKdKhQd""]"
KKQ8d,2025-08-16,preflop,"[""8dKsQdKc""]"
KKT3d,2025-08-16,flop,"[""KdKh3hTs"", ""3dKcTdKs""]"
KKT5d,2025-08-16,showdown,"[""KdTcKh5h""]"
KQ77p,2025-08-16,flop,"[""7s7hQsKh""]"
KQJ6d,2025-08-16,preflop,"[""JdQhKh6s""]"
KQJ6p,2025-08-16,preflop,"[""Js6hKhQs""]"
KQQ6d,2025-08-16,showdown,"[""6hKsQhQd"", ""Ks6cQdQs"", ""6dQsKhQh""]"
KQQTd,2025-08-16,flop,"[""KcQsQdTd"", ""KsQhQsTd"", ""QdQsKcTd""]"
KQT7p,2025-08-16,turn,"[""Qd7dTsKs""]"
KQT9d,2025-08-16,flop,"[""TdKd9hQc""]"
KT82p,2025-08-16,preflop,"[""KcTc2h8h""]"
QJ96p,2025-08-16,turn,"[""QsJs6c9c""]"
QJ98p,2025-08-16,showdown,"[""QdJh8h9d""]"
QJT6d,2025-08-16,turn,"[""6hTsQhJd""]"
QQ33r,2025-08-16,showdown,"[""Qd3hQs3c""]"
QQ72p,2025-08-16,showdown,"[""7hQd2dQh""]"
QT63d,2025-08-16,showdown,"[""3cTh6hQd""]"
T854p,2025-08-16,showdown,"[""4c5cTh8h""]"
T976d,2025-08-16,showdown,"[""6s7h9hTc""]"
T983d,2025-08-16,river,"[""8s9d3sTh"", ""3hTc8c9s""]"
T985d,2025-08-16,turn,"[""8d5c9sTs"", ""Td5d8s9c""]"
TT54p,2025-08-16,showdown,"[""4cTc5sTs""]"
7643p,2025-08-17,showdown,"[""3h4s7h6s""]"
7643t,2025-08-17,preflop,"[""4h3h6s7h""]"
7765p,2025-08-17,flop,"[""5h7s7h6s"", ""6d5c7c7d""]"
8733d,2025-08-17,showdown,"[""8s7s3d3h""]"
8753t,2025-08-17,preflop,"[""7s3s8s5h""]"
8765t,2025-08-17,preflop,"[""8c7s5c6c"", ""5s7s8s6d""]"
8776p,2025-08-17,river,"[""8c6s7c7s""]"
8844d,2025-08-17,showdown,"[""4c8s4s8d""]"
8854p,2025-08-17,river,"[""5s8s8h4h""]"
8855d,2025-08-17,preflop,"[""5c8c5s8d""]"
9544d,2025-08-17,flop,"[""4s9h4h5c""]"
9643p,2025-08-17,showdown,"[""9s4s6d3d""]"
9774r,2025-08-17,river,"[""7d4h9c7s""]"
9775p,2025-08-17,showdown,"[""5c7s9s7c"", ""9s7s5h7h""]"
9776d,2025-08-17,turn,"[""7s7d9s6h""]"
9944d,2025-08-17,flop,"[""9d4h4c9c""]"
9985t,2025-08-17,showdown,"[""8s9d5s9s""]"
A853p,2025-08-17,showdown,"[""3d5dAc8c""]"
A874d,2025-08-17,preflop,"[""4c8sAh7h""]"
A886p,2025-08-17,showdown,"[""Ac8d6d8c""]"
A964p,2025-08-17,showdown,"[""6dAc9d4c"", ""4s9sAd6d""]"
A965d,2025-08-17,preflop,"[""Ac9s6c5d""]"
A986d,2025-08-17,preflop,"[""Ah8c9s6h""]"
A987p,2025-08-17,showdown,"[""7sAh9h8s""]"
AA33d,2025-08-17,turn,"[""Ah3c3sAc""]"
AA63d,2025-08-17,flop,"[""Ad6c3dAh""]"
AA65d,2025-08-17,showdown,"[""5hAs6cAc"", ""Ah6d5hAc"", ""Ah6hAs5d""]"
AA66p,2025-08-17,river,"[""As6s6hAh""]"
AA72t,2025-08-17,flop,"[""7sAdAs2s""]"
AA74p,2025-08-17,showdown,"[""As7sAh4h""]"
AA85d,2025-08-17,showdown,"[""8dAhAs5d"", ""AcAh5c8d""]"
AA93r,2025-08-17,showdown,"[""Ad3cAh9s""]"
AA96d,2025-08-17,river,"[""Ad9s6cAc"", ""6cAh9sAc""]"
AA98t,2025-08-17,preflop,"[""Ad9s8sAs"", ""As8hAh9h""]"
AAJ9r,2025-08-17,river,"[""Jd9hAcAs""]"
AAJJd,2025-08-17,showdown,"[""AsJdAhJs""]"
AAK2r,2025-08-17,showdown,"[""2hAdKsAc""]"
AAK6t,2025-08-17,showdown,"[""AdAh6hKh""]"
AAKQd,2025-08-17,showdown,"[""KdQcAdAh""]"
AAKTp,2025-08-17,river,"[""AhTdAdKh""]"
AAQ7p,2025-08-17,flop,"[""AcAd7cQd"", ""QcAcAh7h""]"
AAQ7r,2025-08-17,turn,"[""Ad7sQcAh"", ""7cAsQhAd""]"
AAQ9p,2025-08-17,preflop,"[""AsQsAh9h""]"
AAT2r,2025-08-17,flop,"[""AsAcTd2h""]"
AAT4d,2025-08-17,flop,"[""4sAhThAc"", ""AdAcTs4s""]"
AAT9t,2025-08-17,showdown,"[""9sAsAcTs""]"
AJ63p,2025-08-17,flop,"[""3sAhJh6s""]"
AJ76p,2025-08-17,showdown,"[""6sJs7dAd"", ""AhJd7h6d"", ""Ac7s6cJs""]"
AJ82p,2025-08-17,preflop,"[""Ah8hJc2c"", ""Js2cAs8c""]"
AJJ4t,2025-08-17,showdown,"[""4hJhJsAh""]"
AJJ8d,2025-08-17,turn,"[""JsAs8cJh""]"
AJJTd,2025-08-17,preflop,"[""JcJsAsTh""]"
AJT3p,2025-08-17,showdown,"[""JhTd3dAh""]"
AJT5p,2025-08-17,preflop,"[""JhTsAs5h""]"
AK44d,2025-08-17,preflop,"[""KsAs4c4d"", ""4dKc4sAs""]"
AK65d,2025-08-17,showdown,"[""AdKd5c6h""]"
AK73p,2025-08-17,turn,"[""7sKh3hAs""]"
AK75d,2025-08-17,river,"[""Ac7sKc5d""]"
AK76d,2025-08-17,showdown,"[""Ah6sKh7d""]"
AK77d,2025-08-17,preflop,"[""7sKd7hAd""]"
AK86d,2025-08-17,preflop,"[""6c8dAdKs""]"
AK98p,2025-08-17,showdown,"[""9cKsAs8c""]"
AKJ3d,2025-08-17,showdown,"[""3cKcAdJh""]"
AKJ6d,2025-08-17,preflop,"[""KdAc6hJh"", ""6dJhAsKs""]"
AKJ6p,2025-08-17,preflop,"[""6cKdJdAc""]"
AKK2t,2025-08-17,preflop,"[""Ac2cKcKs""]"
AKK3d,2025-08-17,showdown,"[""3cKhKcAs"", ""3cAhKsKc""]"
AKK6d,2025-08-17,flop,"[""6hKdKcAh""]"
AKK8d,2025-08-17,turn,"[""AcKh8sKs""]"
AKKQr,2025-08-17,preflop,"[""QsAcKdKh""]"
AKQ4t,2025-08-17,preflop,"[""4sKhAhQh""]"
AKQ6d,2025-08-17,flop,"[""QsAc6dKc"", ""QcAdKs6s""]"
AKQ6t,2025-08-17,preflop,"[""QcKc6dAc""]"
AKQ8t,2025-08-17,preflop,"[""KcQcAc8h""]"
AKQ9t,2025-08-17,preflop,"[""QcAc9hKc""]"
AKQQd,2025-08-17,showdown,"[""QsAsQcKh"", ""QdAcQsKc""]"
AKT3p,2025-08-17,flop,"[""AhTd3dKh""]"
AKT3t,2025-08-17,showdown,"[""KdAh3hTh""]"
AKT6d,2025-08-17,showdown,"[""Td6sKsAc"", ""AcKhTs6c""]"
AKT6t,2025-08-17,preflop,"[""KcAcTs6c"", ""AdThKh6h""]"
AQ75t,2025-08-17,preflop,"[""Ac7d5cQc""]"
AQ97d,2025-08-17,turn,"[""9d7sQcAs"", ""7h9dQsAs""]"
AQJ3p,2025-08-17,preflop,"[""3dQdJsAs"", ""QcJcAd3d"", ""Qc3dJcAd""]"
AQJ4p,2025-08-17,flop,"[""AhJc4cQh""]"
