hand,first_win_day,first_win_situation,wins
K987s,2025-08-16,turn,"[""8d9hKs7s"", ""8dKh7d9c""]"
K998r,2025-08-16,showdown,"[""Kd9h9c8s""]"
KJ32d,2025-08-16,showdown,"[""Jh2c3hKc""]"
KJ98s,2025-08-16,flop,"[""Ks9c8sJh""]"
KK88s,2025-08-16,river,"[""Ks8s8hKc""]"
KK95s,2025-08-16,showdown,"[""Ks9hKd5s""]"
KKJJs,2025-08-16,flop,"[""KdJdJhKs""]"
KKQ7s,2025-08-16,showdown,"[""7sKdKhQd""]"
KKQ8s,2025-08-16,preflop,"[""8dKsQdKc""]"
KKT3s,2025-08-16,flop,"[""KdKh3hTs"", ""3dKcTdKs""]"
KKT5s,2025-08-16,showdown,"[""KdTcKh5h""]"
KQ77d,2025-08-16,flop,"[""7s7hQsKh""]"
KQJ6d,2025-08-16,preflop,"[""Js6hKhQs""]"
KQJ6s,2025-08-16,preflop,"[""JdQhKh6s""]"
KQQ6s,2025-08-16,showdown,"[""6hKsQhQd"", ""Ks6cQdQs"", ""6dQsKhQh""]"
KQQTs,2025-08-16,flop,"[""KcQsQdTd"", ""KsQhQsTd"", ""QdQsKcTd""]"
KQT7d,2025-08-16,turn,"[""Qd7dTsKs""]"
KQT9s,2025-08-16,flop,"[""TdKd9hQc""]"
KT82d,2025-08-16,preflop,"[""KcTc2h8h""]"
QJ96d,2025-08-16,turn,"[""QsJs6c9c""]"
QJ98d,2025-08-16,showdown,"[""QdJh8h9d""]"
QJT6s,2025-08-16,turn,"[""6hTsQhJd""]"
QQ33r,2025-08-16,showdown,"[""Qd3hQs3c""]"
QQ72d,2025-08-16,showdown,"[""7hQd2dQh""]"
QT63s,2025-08-16,showdown,"[""3cTh6hQd""]"
T854d,2025-08-16,showdown,"[""4c5cTh8h""]"
T976s,2025-08-16,showdown,"[""6s7h9hTc""]"
T983s,2025-08-16,river,"[""8s9d3sTh"", ""3hTc8c9s""]"
T985s,2025-08-16,turn,"[""8d5c9sTs"", ""Td5d8s9c""]"
TT54d,2025-08-16,showdown,"[""4cTc5sTs""]"
7643d,2025-08-17,showdown,"[""3h4s7h6s""]"
7643t,2025-08-17,preflop,"[""4h3h6s7h""]"
7765d,2025-08-17,flop,"[""5h7s7h6s"", ""6d5c7c7d""]"
8733s,2025-08-17,showdown,"[""8s7s3d3h""]"
8753t,2025-08-17,preflop,"[""7s3s8s5h""]"
8765t,2025-08-17,preflop,"[""8c7s5c6c"", ""5s7s8s6d""]"
8776d,2025-08-17,river,"[""8c6s7c7s""]"
8844s,2025-08-17,showdown,"[""4c8s4s8d""]"
8854d,2025-08-17,river,"[""5s8s8h4h""]"
8855s,2025-08-17,preflop,"[""5c8c5s8d""]"
9544s,2025-08-17,flop,"[""4s9h4h5c""]"
9643d,2025-08-17,showdown,"[""9s4s6d3d""]"
9774r,2025-08-17,river,"[""7d4h9c7s""]"
9775d,2025-08-17,showdown,"[""5c7s9s7c"", ""9s7s5h7h""]"
9776s,2025-08-17,turn,"[""7s7d9s6h""]"
9944s,2025-08-17,flop,"[""9d4h4c9c""]"
9985t,2025-08-17,showdown,"[""8s9d5s9s""]"
A853d,2025-08-17,showdown,"[""3d5dAc8c""]"
A874s,2025-08-17,preflop,"[""4c8sAh7h""]"
A886d,2025-08-17,showdown,"[""Ac8d6d8c""]"
A964d,2025-08-17,showdown,"[""6dAc9d4c"", ""4s9sAd6d""]"
A965s,2025-08-17,preflop,"[""Ac9s6c5d""]"
A986s,2025-08-17,preflop,"[""Ah8c9s6h""]"
A987d,2025-08-17,showdown,"[""7sAh9h8s""]"
AA33s,2025-08-17,turn,"[""Ah3c3sAc""]"
AA63s,2025-08-17,flop,"[""Ad6c3dAh""]"
AA65s,2025-08-17,showdown,"[""5hAs6cAc"", ""Ah6d5hAc"", ""Ah6hAs5d""]"
AA66d,2025-08-17,river,"[""As6s6hAh""]"
AA72t,2025-08-17,flop,"[""7sAdAs2s""]"
AA74d,2025-08-17,showdown,"[""As7sAh4h""]"
AA85s,2025-08-17,showdown,"[""8dAhAs5d"", ""AcAh5c8d""]"
AA93r,2025-08-17,showdown,"[""Ad3cAh9s""]"
AA96s,2025-08-17,river,"[""Ad9s6cAc"", ""6cAh9sAc""]"
AA98t,2025-08-17,preflop,"[""Ad9s8sAs"", ""As8hAh9h""]"
AAJ9r,2025-08-17,river,"[""Jd9hAcAs""]"
AAJJs,2025-08-17,showdown,"[""AsJdAhJs""]"
AAK2r,2025-08-17,showdown,"[""2hAdKsAc""]"
AAK6t,2025-08-17,showdown,"[""AdAh6hKh""]"
AAKQs,2025-08-17,showdown,"[""KdQcAdAh""]"
AAKTd,2025-08-17,river,"[""AhTdAdKh""]"
AAQ7d,2025-08-17,flop,"[""AcAd7cQd"", ""QcAcAh7h""]"
AAQ7r,2025-08-17,turn,"[""Ad7sQcAh"", ""7cAsQhAd""]"
AAQ9d,2025-08-17,preflop,"[""AsQsAh9h""]"
AAT2r,2025-08-17,flop,"[""AsAcTd2h""]"
AAT4s,2025-08-17,flop,"[""4sAhThAc"", ""AdAcTs4s""]"
AAT9t,2025-08-17,showdown,"[""9sAsAcTs""]"
AJ63d,2025-08-17,flop,"[""3sAhJh6s""]"
AJ76d,2025-08-17,showdown,"[""6sJs7dAd"", ""AhJd7h6d"", ""Ac7s6cJs""]"
AJ82d,2025-08-17,preflop,"[""Ah8hJc2c"", ""Js2cAs8c""]"
AJJ4t,2025-08-17,showdown,"[""4hJhJsAh""]"
AJJ8s,2025-08-17,turn,"[""JsAs8cJh""]"
AJJTs,2025-08-17,preflop,"[""JcJsAsTh""]"
AJT3d,2025-08-17,showdown,"[""JhTd3dAh""]"
AJT5d,2025-08-17,preflop,"[""JhTsAs5h""]"
AK44s,2025-08-17,preflop,"[""KsAs4c4d"", ""4dKc4sAs""]"
AK65s,2025-08-17,showdown,"[""AdKd5c6h""]"
AK73d,2025-08-17,turn,"[""7sKh3hAs""]"
AK75s,2025-08-17,river,"[""Ac7sKc5d""]"
AK76s,2025-08-17,showdown,"[""Ah6sKh7d""]"
AK77s,2025-08-17,preflop,"[""7sKd7hAd""]"
AK86s,2025-08-17,preflop,"[""6c8dAdKs""]"
AK98d,2025-08-17,showdown,"[""9cKsAs8c""]"
AKJ3s,2025-08-17,showdown,"[""3cKcAdJh""]"
AKJ6d,2025-08-17,preflop,"[""6cKdJdAc""]"
AKJ6s,2025-08-17,preflop,"[""KdAc6hJh"", ""6dJhAsKs""]"
AKK2t,2025-08-17,preflop,"[""Ac2cKcKs""]"
AKK3s,2025-08-17,showdown,"[""3cKhKcAs"", ""3cAhKsKc""]"
AKK6s,2025-08-17,flop,"[""6hKdKcAh""]"
AKK8s,2025-08-17,turn,"[""AcKh8sKs""]"
AKKQr,2025-08-17,preflop,"[""QsAcKdKh""]"
AKQ4t,2025-08-17,preflop,"[""4sKhAhQh""]"
AKQ6s,2025-08-17,flop,"[""QsAc6dKc"", ""QcAdKs6s""]"
AKQ6t,2025-08-17,preflop,"[""QcKc6dAc""]"
AKQ8t,2025-08-17,preflop,"[""KcQcAc8h""]"
AKQ9t,2025-08-17,preflop,"[""QcAc9hKc""]"
AKQQs,2025-08-17,showdown,"[""QsAsQcKh"", ""QdAcQsKc""]"
AKT3d,2025-08-17,flop,"[""AhTd3dKh""]"
AKT3t,2025-08-17,showdown,"[""KdAh3hTh""]"
AKT6s,2025-08-17,showdown,"[""Td6sKsAc"", ""AcKhTs6c""]"
AKT6t,2025-08-17,preflop,"[""KcAcTs6c"", ""AdThKh6h""]"
AQ75t,2025-08-17,preflop,"[""Ac7d5cQc""]"
AQ97s,2025-08-17,turn,"[""9d7sQcAs"", ""7h9dQsAs""]"
AQJ3d,2025-08-17,preflop,"[""3dQdJsAs"", ""QcJcAd3d"", ""Qc3dJcAd""]"
AQJ4d,2025-08-17,flop,"[""AhJc4cQh""]"
AQJTd,2025-08-17,preflop,"[""AhJhQcTc"", ""TcJdAcQd"", ""QhAcJcTh"", ""QsTcJsAc""]"
AQQ5t,2025-08-17,showdown,"[""Qc5cAcQd"", ""5hQhAhQc""]"
AQQ6s,2025-08-17,preflop,"[""6sQsQcAh""]"
AQQ7s,2025-08-17,turn,"[""QdAc7hQh""]"
AQQ9t,2025-08-17,turn,"[""QsAcQc9c""]"
AQT2s,2025-08-17,river,"[""AcQh2cTs"", ""TdQh2cAc""]"
AQT4d,2025-08-17,turn,"[""QcAh4cTh""]"
AQT5d,2025-08-17,turn,"[""TdQcAd5c"", ""5sQcAsTc""]"
AQT5s,2025-08-17,river,"[""ThQs5cAh"", ""TcAc5sQh""]"
AQT8d,2025-08-17,showdown,"[""AcTcQd8d""]"
AQT9s,2025-08-17,showdown,"[""9dTcQsAc""]"
AT43d,2025-08-17,river,"[""4c3cAhTh""]"
AT44s,2025-08-17,showdown,"[""4sAsTd4h""]"
AT53s,2025-08-17,turn,"[""Td5sAh3h""]"
AT63d,2025-08-17,preflop,"[""6c3cTdAd""]"
AT64s,2025-08-17,preflop,"[""4dAhTh6s""]"
AT65s,2025-08-17,river,"[""Ah5dTc6c""]"
AT72d,2025-08-17,showdown,"[""2dTcAc7d""]"
AT76d,2025-08-17,turn,"[""AdTd7h6h""]"
AT88s,2025-08-17,showdown,"[""8hAsTs8c""]"
AT94d,2025-08-17,preflop,"[""9hTh4cAc""]"
ATT2s,2025-08-17,preflop,"[""TdTc2hAh""]"
ATT5d,2025-08-17,showdown,"[""Ah5sThTs""]"
ATT5s,2025-08-17,showdown,"[""5cAcTsTh""]"
J443s,2025-08-17,preflop,"[""Js4d3h4h""]"
J554s,2025-08-17,turn,"[""Jd4c5c5h""]"
J854s,2025-08-17,preflop,"[""5dJs4d8h""]"
J876d,2025-08-17,showdown,"[""8c7cJh6h""]"
J943d,2025-08-17,showdown,"[""4sJd3s9d""]"
JT87s,2025-08-17,river,"[""8sJsTh7d"", ""8cJsTs7d"", ""8cTsJh7c"", ""7d8hJhTs""]"
JT95m,2025-08-17,river,"[""9h5hJhTh""]"
JT96d,2025-08-17,preflop,"[""6hTd9dJh""]"
JT97d,2025-08-17,preflop,"[""Th9h7sJs""]"
JT97s,2025-08-17,preflop,"[""Tc7hJh9s"", ""7sJcTc9d""]"
JT98t,2025-08-17,showdown,"[""JsTd9s8s"", ""Td9c8dJd""]"
JTT2s,2025-08-17,preflop,"[""TsJhTd2s""]"
K764s,2025-08-17,turn,"[""7s6d4sKh""]"
KJ77d,2025-08-17,flop,"[""7sJsKc7c""]"
KJ82t,2025-08-17,preflop,"[""8d2dKdJs""]"
KJ87s,2025-08-17,showdown,"[""Kd7hJd8s""]"
KJJTs,2025-08-17,showdown,"[""JdKdTcJs""]"
KJT9s,2025-08-17,river,"[""Jh9cTsKc"", ""9hTsKsJd""]"
KK33s,2025-08-17,preflop,"[""3cKhKs3s""]"
KK43d,2025-08-17,turn,"[""4s3hKsKh""]"
KK44s,2025-08-17,showdown,"[""Kc4d4sKs""]"
KK66d,2025-08-17,flop,"[""6sKdKs6d""]"
KK74s,2025-08-17,showdown,"[""Kh4c7sKs""]"
KK87t,2025-08-17,flop,"[""KsKc7s8s""]"
KKJ3s,2025-08-17,flop,"[""3sJsKcKh""]"
KKJ6s,2025-08-17,showdown,"[""KhJs6hKc""]"
KKJ7s,2025-08-17,showdown,"[""JcKdKh7d"", ""KhJd7cKd""]"
KKQ6s,2025-08-17,preflop,"[""Kh6cQdKd""]"
KKQ9s,2025-08-17,flop,"[""Qs9sKcKh"", ""9dQhKsKh""]"
KKQJs,2025-08-17,river,"[""JhKsQhKd""]"
KKQTs,2025-08-17,river,"[""KhKsThQc"", ""KcKdQhTc""]"
KQ43d,2025-08-17,showdown,"[""3c4hQcKh""]"
KQ74s,2025-08-17,preflop,"[""4sKsQh7d""]"
KQ75r,2025-08-17,turn,"[""Kh5dQs7c""]"
KQ76d,2025-08-17,showdown,"[""6hQsKs7h""]"
KQJ7d,2025-08-17,preflop,"[""KhQd7dJh""]"
KQJ9s,2025-08-17,showdown,"[""9sJcQdKs"", ""Jd9hKsQs""]"
KQJTs,2025-08-17,showdown,"[""KdThJdQs"", ""KsQdJsTh"", ""TdKdQsJc"", ""QdJcKdTh""]"
KQT5s,2025-08-17,preflop,"[""KcQsTd5c""]"
KQTTd,2025-08-17,turn,"[""KsThQhTs""]"
KQTTs,2025-08-17,river,"[""TsQcKdTc"", ""TcThQcKd""]"
KT73s,2025-08-17,turn,"[""3cTd7sKd""]"
KT75m,2025-08-17,showdown,"[""Th5h7hKh""]"
Q443r,2025-08-17,preflop,"[""4h3d4sQc""]"
Q822s,2025-08-17,preflop,"[""Qc8c2h2s""]"
Q975s,2025-08-17,showdown,"[""9c7hQh5d""]"
QJ42t,2025-08-17,showdown,"[""Jd2sQs4s""]"
QJ96s,2025-08-17,turn,"[""9s6hJcQh""]"
QJJ9d,2025-08-17,turn,"[""JsQsJc9c""]"
QJT7d,2025-08-17,showdown,"[""JhQhTd7d""]"
QJT9s,2025-08-17,turn,"[""Jc9hTsQc"", ""QcJc9hTs"", ""Js9cThQs"", ""TcJhQs9h""]"
QQ52d,2025-08-17,showdown,"[""2sQsQc5c""]"
QT64s,2025-08-17,preflop,"[""4hQd6sTd"", ""QcTh4d6h""]"
QT87d,2025-08-17,preflop,"[""7cTd8cQd""]"
T654s,2025-08-17,showdown,"[""6d5c4hTd""]"
T752s,2025-08-17,preflop,"[""2h7dTs5h""]"
T776d,2025-08-17,flop,"[""Th7s7h6s""]"
T954d,2025-08-17,showdown,"[""5sTc9s4c""]"
T976d,2025-08-17,preflop,"[""7c9cTs6s""]"
T995s,2025-08-17,river,"[""9dTh5h9c""]"
T998t,2025-08-17,preflop,"[""9sTs9h8s""]"
TT53s,2025-08-17,showdown,"[""TsTd3d5c""]"
9552s,2025-08-18,showdown,"[""5s2d5d9h""]"
9865s,2025-08-18,showdown,"[""9s8c6s5d""]"
A554d,2025-08-18,showdown,"[""5h4sAh5s""]"
A655s,2025-08-18,flop,"[""5c5dAs6s""]"
A975d,2025-08-18,showdown,"[""7s5dAs9d"", ""5hAh9s7s""]"
AA22s,2025-08-18,showdown,"[""2dAcAh2c"", ""Ad2sAs2h""]"
AA42s,2025-08-18,flop,"[""Ah4c2dAd"", ""2dAhAd4s""]"
AA43s,2025-08-18,turn,"[""4sAdAs3h"", ""Ad3h4hAc""]"
AA53s,2025-08-18,showdown,"[""Ah5dAc3h"", ""5cAhAd3h"", ""5dAs3sAh""]"
AA72s,2025-08-18,showdown,"[""AhAc7c2d"", ""As7hAd2h""]"
AA75t,2025-08-18,flop,"[""Ah5dAd7d"", ""7dAcAd5d""]"
AAK4d,2025-08-18,preflop,"[""AsAcKc4s""]"
AAK8s,2025-08-18,flop,"[""KhAc8cAd""]"
AAQ9s,2025-08-18,showdown,"[""QcAs9hAh"", ""Qs9sAdAc""]"
AJ94d,2025-08-18,showdown,"[""9hAhJs4s""]"
AK43d,2025-08-18,showdown,"[""Kh4d3hAd""]"
AK74t,2025-08-18,preflop,"[""4d7dAdKh""]"
AKJ5d,2025-08-18,preflop,"[""5dKdAsJs""]"
AKJ9s,2025-08-18,showdown,"[""KhAdJh9s"", ""JdKsAc9c"", ""Ad9cKcJs""]"
AKT5d,2025-08-18,preflop,"[""5cKhTcAh"", ""Th5dKdAh""]"
AKT5s,2025-08-18,flop,"[""5cAhThKs"", ""KsTdAs5c""]"
AKT7t,2025-08-18,showdown,"[""Th7sKsAs""]"
AKTTd,2025-08-18,showdown,"[""ThAhKsTs""]"
AQ82d,2025-08-18,preflop,"[""2hAcQc8h""]"
AQJ9s,2025-08-18,showdown,"[""JdQcAh9d"", ""9dJhQcAh""]"
AQQ9s,2025-08-18,flop,"[""Qc9sAsQd"", ""9sAhQhQd""]"
AQT3d,2025-08-18,showdown,"[""3sTsAhQh""]"
AT72t,2025-08-18,turn,"[""2hAh7dTh""]"
AT75d,2025-08-18,flop,"[""5hTh7sAs"", ""AcTc5d7d""]"
AT77s,2025-08-18,showdown,"[""7h7cTdAc""]"
ATT7s,2025-08-18,preflop,"[""7cTsTcAh""]"
J743t,2025-08-18,showdown,"[""3c7c4cJh""]"
J776d,2025-08-18,showdown,"[""7dJd7s6s""]"
JJT3d,2025-08-18,showdown,"[""JcJsTs3c""]"
JJT8s,2025-08-18,turn,"[""Jh8hTdJc""]"
JT72d,2025-08-18,showdown,"[""JcTd7d2c""]"
JTT9s,2025-08-18,turn,"[""ThTd9hJs""]"
K763d,2025-08-18,showdown,"[""3h6s7sKh""]"
K873s,2025-08-18,preflop,"[""7s8c3hKs""]"
KJJ8s,2025-08-18,river,"[""Ks8sJhJc""]"
KJT7t,2025-08-18,preflop,"[""Td7sKdJd""]"
KK66s,2025-08-18,showdown,"[""KhKc6h6d""]"
KQT2d,2025-08-18,flop,"[""Ts2sKcQc""]"
KQT3d,2025-08-18,showdown,"[""TcQhKh3c""]"
KQT8d,2025-08-18,showdown,"[""KcQc8dTd""]"
KT86d,2025-08-18,showdown,"[""Ts6c8sKc""]"
KT87d,2025-08-18,showdown,"[""Kc7dTc8d"", ""7dThKh8d""]"
KTT3d,2025-08-18,preflop,"[""ThTcKc3h""]"
QJ53d,2025-08-18,showdown,"[""3h5cQhJc""]"
QJ87s,2025-08-18,preflop,"[""7c8hJdQd""]"
QJT8s,2025-08-18,showdown,"[""8cQhTcJd"", ""Jh8dTcQd""]"
QQ75d,2025-08-18,preflop,"[""QsQh7h5s""]"
QQT6s,2025-08-18,showdown,"[""6cQdTsQs""]"
T432d,2025-08-18,flop,"[""2dTc4c3d""]"
T654d,2025-08-18,showdown,"[""4c5hTh6c""]"
T933s,2025-08-18,showdown,"[""9hTc3s3h""]"
6544d,2025-08-19,showdown,"[""4h4c6c5h"", ""5s4s4h6h"", ""6d4s5s4d""]"
7522s,2025-08-19,preflop,"[""2c2d5s7d""]"
9332d,2025-08-19,preflop,"[""2s9d3d3s""]"
A854t,2025-08-19,preflop,"[""Ad5d8d4h""]"
A873d,2025-08-19,showdown,"[""7d3sAd8s"", ""3h7sAs8h"", ""3d8h7dAh"", ""7d8dAh3h""]"
AA62s,2025-08-19,showdown,"[""Ac2h6hAs"", ""6sAh2dAs""]"
